title,publication_frequency,url,place_of_publication,publisher,lccn_number,oclc_number,primary_language,start_year,end_year,city,county,state,latitude,longitude,place_0,subject_0,subject_1,note_0,note_1,note_2,note_3,the_geom,cartodb_id,created_at,updated_at
Vara,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94083218,"New York, N.Y.",Sephardic Pub. Co.,sn94083218,32255361,English,1933-01-01 00:00:00+00,1951-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--United States.,Jewish newspapers.--fast--(OCoLC)fst00982872,In Ladino and English.,Microfilm.,,,0101000020E6100000282D5C56618052C0588E90813C5B4440,564,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Luz The Light,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94085274,New York [N.Y.],Sepharadic Pub. Co.,sn94085274,33030735,English,1922-01-01 00:00:00+00,1948-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State)--New York.,Jewish newspapers.--fast--(OCoLC)fst00982872,Editor: S. Nessim.,In Ladino and English.,Microfilm.,,0101000020E6100000282D5C56618052C0588E90813C5B4440,565,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Virginia-Carolina Jewish Messenger,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94060103,"Richmond, Va.",J.B. Yellen,sn94060103,30884853,English,1921-01-01 00:00:00+00,1999-01-01 00:00:00+00,Richmond,,Virginia,37.540725,-77.436048,Virginia--Richmond,Jewish newspapers--Virginia.,Jewish newspapers.--fast--(OCoLC)fst00982872,"""The only Anglo-Jewish newspaper published in Virginia and the Carolinas.""",Available on microfilm from Preservation Resources.,"Latest issue consulted: Vol. 6, no. 4 (Mar. 25, 1938).",,0101000020E61000001EDFDE35E85B53C097900F7A36C54240,566,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Idishe Folkң = The Jewish Nation = Dos Yiddishe Folk,Monthly,http://chroniclingamerica.loc.gov/lccn/sn89077232,"New York, N.Y.",Zion Press Association,sn89077232,2269772,Yiddish,1933-01-01 00:00:00+00,1938-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--United States.,Jewish newspapers.--fast--(OCoLC)fst00982872,Also available on microfilm from New York Public Library.,In Yiddish.,"None published, 1930-1936?",,0101000020E6100000282D5C56618052C0588E90813C5B4440,567,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Connecticut Hebrew Record,Weekly,http://chroniclingamerica.loc.gov/lccn/sn92051392,"Hartford, Conn.",Connecticut Hebrew Record,sn92051392,21590521,English,1909-01-01 00:00:00+00,,Hartford,Hartford,Connecticut,41.763711,-72.685093,Connecticut--Hartford--Hartford,Connecticut--Hartford County.--fast--(OCoLC)fst01211874,Connecticut--Hartford.--fast--(OCoLC)fst01207441,"Also issued on microfilm from Connecticut State Library, Hartford, CT.",,,,0101000020E6100000FC6D4F90D82B52C0384C3448C1E14440,568,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Times,Biweekly,http://chroniclingamerica.loc.gov/lccn/sn89059087,"New Orleans, La.",Jewish Times,sn89059087,19403204,English,1920-01-01 00:00:00+00,1923-01-01 00:00:00+00,New Orleans,Orleans,Louisiana,29.951066,-90.071532,Louisiana--Orleans--New Orleans,Jewish newspapers--Louisiana--New Orleans.,Jewish newspapers.--fast--(OCoLC)fst00982872,"""Official publication of the Jewish Welfare Federation of New Orleans.""","""Published and printed in Miami, Florida,"" Mar. 10, 1978-",Also issued on microfilm from the University of Florida.,"Issues for Jan. 9 & 23, 1987 called v.13, no. 2 & 3, but constitute v.13, no. 1 & 2 respectively.",0101000020E61000008527F4FA938456C06956B60F79F33D40,569,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
ForvңErtңS = Forward,Daily,http://chroniclingamerica.loc.gov/lccn/sn91058154,"New York, N.Y.",Forward Association,sn91058154,25125538,Yiddish,1974-01-01 00:00:00+00,,Boston,Suffolk,Massachusetts,42.360083,-71.05888,Massachusetts--Suffolk--Boston,Boston (Mass.)--Newspapers.,Jewish newspapers--Massachusetts--Boston.,"Description based on: Vol. 22, no. 8000 (Sept. 4, 1919).",In Yiddish.,,,0101000020E6100000DD989EB0C4C351C03C6C2233172E4540,570,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Advocate Of South Broward,Biweekly,http://chroniclingamerica.loc.gov/lccn/sn94026621,"Hollywood, Fla.",Jewish Federation of South Broward,sn94026621,30628382,English,1900-01-01 00:00:00+00,1999-01-01 00:00:00+00,Hollywood,Broward,Florida,26.011201,-80.14949,Florida--Broward--Hollywood,Broward County (Fla.)--Newspapers.,Florida--Broward County.--fast--(OCoLC)fst01202766,d,Microfilm.,,,0101000020E61000000F45813E910954C0B8AE9811DE023A40,571,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Naye VңEltң = Die Naye Welt,Weekly,http://chroniclingamerica.loc.gov/lccn/sn93062915,"New York, N.Y.",Executive Committee of the Jewish Socialist Federation of America,sn93062915,28031609,Yiddish,1986-01-01 00:00:00+00,1992-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State)--New York.,Jewish newspapers.--fast--(OCoLC)fst00982872,In Yiddish.,"Issues for Jan. 3-17, 1919 misdated 1918.",,,0101000020E6100000282D5C56618052C0588E90813C5B4440,572,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Eynigkeyt = Einigkeit,Weekly,http://chroniclingamerica.loc.gov/lccn/sn93062920,New York [N.Y.],Unity Committee of the Joint Board Cloakmaker's Union and Joint Board Furriers' Union,sn93062920,28031770,English,1915-01-01 00:00:00+00,1921-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State)--New York.,Jewish newspapers.--fast--(OCoLC)fst00982872,"""A Jewish labor weekly.""",In Yiddish and English.,,,0101000020E6100000282D5C56618052C0588E90813C5B4440,573,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Luz = The Light,Weekly,http://chroniclingamerica.loc.gov/lccn/sn93062950,New York [N.Y.],Sepharadic Pub. Co.,sn93062950,28353897,English,1927-01-01 00:00:00+00,1999-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State)--New York.,Jewish newspapers.--fast--(OCoLC)fst00982872,Editor: S. Nessim.,In Ladino and English.,,,0101000020E6100000282D5C56618052C0588E90813C5B4440,574,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Progreso,Weekly (slightly irregular),http://chroniclingamerica.loc.gov/lccn/sn93062951,New York [N.Y.],Nessim Press,sn93062951,28353905,English,1921-01-01 00:00:00+00,1999-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State)--New York.,Jewish newspapers.--fast--(OCoLC)fst00982872,"""Devoted to the interest of the Sepharadim Jews in America.""",In Ladino and English.,,,0101000020E6100000282D5C56618052C0588E90813C5B4440,575,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Boz Del Pueblo,Weekly,http://chroniclingamerica.loc.gov/lccn/sn93062952,New York [N.Y.],Nessim Press,sn93062952,28353913,English,1915-01-01 00:00:00+00,1915-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State)--New York.,Jewish newspapers.--fast--(OCoLC)fst00982872,In Ladino and English.,,,,0101000020E6100000282D5C56618052C0588E90813C5B4440,576,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
EpokңA De Nu Yorkң,Semiweekly,http://chroniclingamerica.loc.gov/lccn/sn93062953,New York [N.Y.],Alfred Mizrachi,sn93062953,28353925,English,1915-01-01 00:00:00+00,1919-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State)--New York.,Jewish newspapers.--fast--(OCoLC)fst00982872,In Ladino and English.,,,,0101000020E6100000282D5C56618052C0588E90813C5B4440,577,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Floridian/The Floridian Newspaper,Weekly,http://chroniclingamerica.loc.gov/lccn/sn96027406,"Miami, Fla.",Jewish Floridian,sn96027406,34771561,English,1930-01-01 00:00:00+00,,Miami,Dade,Florida,25.76168,-80.19179,Florida--Dade--Miami,Florida--Miami-Dade County.--fast--(OCoLC)fst01287298,Florida--Miami.--fast--(OCoLC)fst01213727,Also issued on microfilm from the University of Florida.,"Fred Shochet, editor.","Issues for June 29, 1990 also called vol. 62, no. 39.","Latest issue consulted: Vol. 63, no. 26 (June 29, 1990).",0101000020E6100000CA6C9049460C54C06C04E275FDC23940,579,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jacksonville Jewish News,Monthly,http://chroniclingamerica.loc.gov/lccn/sn96027409,"Jacksonville, Fla.",Jacksonville Jewish Federation,sn96027409,34795219,English,1990-01-01 00:00:00+00,1990-01-01 00:00:00+00,Jacksonville,Duval,Florida,30.332184,-81.655651,Florida--Duval--Jacksonville,Duval County (Fla.)--Newspapers.,Florida--Duval County.--fast--(OCoLC)fst01205260,Also issued on microfilm from the University of Florida.,"Latest issue consulted: Vol. 8, no. 10 (June 1996).",,,0101000020E6100000BEA59C2FF66954C02541B8020A553E40,580,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Advocate Of South Broward,Biweekly,http://chroniclingamerica.loc.gov/lccn/sn96027411,"Hollywood, FL",Jewish Federation of South Broward,sn96027411,34796344,English,1988-01-01 00:00:00+00,,Hollywood,Broward,Florida,26.011201,-80.14949,Florida--Broward--Hollywood,Broward County (Fla.)--Newspapers.,Florida--Broward County.--fast--(OCoLC)fst01202766,Also issued on microfilm from the University of Florida.,,,,0101000020E61000000F45813E910954C0B8AE9811DE023A40,581,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
South Florida Jewish Tribune,Weekly,http://chroniclingamerica.loc.gov/lccn/sn96027385,"Miami, Fla.",Jewish Media Group,sn96027385,31084897,English,1986-01-01 00:00:00+00,1992-01-01 00:00:00+00,Miami,Dade,Florida,25.76168,-80.19179,Florida--Dade--Miami,Florida--Miami-Dade County.--fast--(OCoLC)fst01287298,Florida--Miami.--fast--(OCoLC)fst01213727,Also issued on microfilm from the University of Florida.,"Formed by the union of: Miami Jewish tribune, and: Broward Jewish world, and: Palm Beach Jewish world (West Palm Beach, Fla. : 1989).","Latest issue consulted: Vol. 8, no. 25 (June 10-16, 1994).","Other eds.: South Florida Jewish tribune (Miami, Fla. : Broward ed.), 1994; and: South Florida Jewish tribune (Miami, Fla. : Palm Beach ed.), <1994>.",0101000020E6100000CA6C9049460C54C06C04E275FDC23940,582,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jacksonville Jewish News,Monthly,http://chroniclingamerica.loc.gov/lccn/sn96027632,"Jacksonville, Fla.",Jacksonville Jewish Federation,sn96027632,35238964,English,1994-01-01 00:00:00+00,1999-01-01 00:00:00+00,Jacksonville,Duval,Florida,30.332184,-81.655651,Florida--Duval--Jacksonville,Duval County (Fla.)--Newspapers.,Florida--Duval County.--fast--(OCoLC)fst01205260,c,"Latest issue consulted: Vol. 8, no. 10 (June 1996).",Microfilm.,,0101000020E6100000BEA59C2FF66954C02541B8020A553E40,583,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Press Of Pinellas County,Biweekly (except monthly in July),http://chroniclingamerica.loc.gov/lccn/sn96027635,"Clearwater, Fla.",Wolfson-Dawkins Publications,sn96027635,35239449,English,1988-01-01 00:00:00+00,,Clearwater,Pinellas,Florida,27.965853,-82.800103,Florida--Pinellas--Clearwater,Clearwater (Fla.)--Newspapers.,Florida--Clearwater.--fast--(OCoLC)fst01215622,c,"Description based on: Vol. 2, no. 2 (Aug. 17, 1987).","Latest issue consulted: Vol. 11, no. 1 (July 17-18, 1996).",Microfilm.,0101000020E61000009D9B36E334B354C055BE672442F73B40,584,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Southern Jewish Weekly,Semimonthly,http://chroniclingamerica.loc.gov/lccn/sn96027652,"Jacksonville, Fla.",Isadore Moscovitz,sn96027652,35302391,English,1980-01-01 00:00:00+00,,Jacksonville,Duval,Florida,30.332184,-81.655651,Florida--Duval--Jacksonville,Duval County (Fla.)--Newspapers.,Florida--Duval County.--fast--(OCoLC)fst01205260,"""Combining the Florida Jewish news and the Jewish citizen.""",d,"Latest issue consulted: Vol. 69, no. 22 (Dec. 15, 1992).",Microfilm.,0101000020E6100000BEA59C2FF66954C02541B8020A553E40,585,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Community Advocate Of South Broward,Biweekly,http://chroniclingamerica.loc.gov/lccn/sn96027660,"Hollywood, FL",Jewish Federation of South Broward,sn96027660,35314258,English,1939-01-01 00:00:00+00,1992-01-01 00:00:00+00,Hollywood,Broward,Florida,26.011201,-80.14949,Florida--Broward--Hollywood,Broward County (Fla.)--Newspapers.,Florida--Broward County.--fast--(OCoLC)fst01202766,d,"Latest issue consulted: Vol. 8, no. 17 (Sept. 2, 1994).","Maxine Jordan, publisher.",Microfilm.,0101000020E61000000F45813E910954C0B8AE9811DE023A40,586,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Kehillah,Monthly,http://chroniclingamerica.loc.gov/lccn/sn96027661,"Jacksonville, Fla.",Jacksonville Jewish Federation,sn96027661,35314362,English,1992-01-01 00:00:00+00,1999-01-01 00:00:00+00,Jacksonville,Duval,Florida,30.332184,-81.655651,Florida--Duval--Jacksonville,Duval County (Fla.)--Newspapers.,Florida--Duval County.--fast--(OCoLC)fst01205260,d,"Latest issue consulted: Vol. 2, no. 7 (July 1988).",Microfilm.,Title also appears on masthead in Hebrew.,0101000020E6100000BEA59C2FF66954C02541B8020A553E40,587,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Citizen,Weekly,http://chroniclingamerica.loc.gov/lccn/sn96027662,"Jacksonville, Fla.",Citizen Pub. Co.,sn96027662,35315173,English,1986-01-01 00:00:00+00,1999-01-01 00:00:00+00,Jacksonville,Duval,Florida,30.332184,-81.655651,Florida--Duval--Jacksonville,Duval County (Fla.)--Newspapers.,Florida--Duval County.--fast--(OCoLC)fst01205260,Adopted the numbering of: Florida Jewish news.,d,"Isadore Moscovitz, editor.",Microfilm.,0101000020E6100000BEA59C2FF66954C02541B8020A553E40,588,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Palm Beach Jewish World,Weekly,http://chroniclingamerica.loc.gov/lccn/sn96027665,"West Palm Beach, Fla.",J.W. Publications,sn96027665,35316816,English,1938-01-01 00:00:00+00,1939-01-01 00:00:00+00,West Palm Beach,Palm Beach,Florida,26.715342,-80.053375,Florida--Palm Beach--West Palm Beach,Florida--Palm Beach County.--fast--(OCoLC)fst01205639,Florida--West Palm Beach.--fast--(OCoLC)fst01202776,d,"Description based on: Vol. 8, no. 40 (Oct. 13-19, 1989).","Latest issue consulted: Vol. 11, no. 27 (July 3, 1992).","Merged with: Broward Jewish world, and: Miami Jewish tribune, to form: South Florida Jewish tribune (Miami, Fla. : Palm Beach ed.).",0101000020E610000023DBF97E6A0354C08A743FA720B73A40,589,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Miami Jewish Tribune,Weekly,http://chroniclingamerica.loc.gov/lccn/sn96027666,"Miami, FL",Jewish Media Group,sn96027666,35316943,English,1989-01-01 00:00:00+00,1994-01-01 00:00:00+00,Miami,Dade,Florida,25.76168,-80.19179,Florida--Dade--Miami,Florida--Miami-Dade County.--fast--(OCoLC)fst01287298,Florida--Miami.--fast--(OCoLC)fst01213727,d,"Latest issue consulted: Vol. 8, no. 2 (Dec. 31, 1993).","Merged with: Broward Jewish world, and: Palm Beach Jewish world (West Palm Beach, Fla. : 1989), to form: South Florida Jewish tribune (Miami, Fla. : Dade ed.).",Microfilm.,0101000020E6100000CA6C9049460C54C06C04E275FDC23940,590,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Floridian,Weekly,http://chroniclingamerica.loc.gov/lccn/sn96027667,"Miami, Fla.",Jewish Floridian Pub. Co.,sn96027667,35317254,English,1986-01-01 00:00:00+00,1994-01-01 00:00:00+00,Miami,Dade,Florida,25.76168,-80.19179,Florida--Dade--Miami,Florida--Miami-Dade County.--fast--(OCoLC)fst01287298,Florida--Miami.--fast--(OCoLC)fst01213727,d,"Description based on: Vol. 5, no. 47 (Nov. 25, 1932).","Editor: Fred K. Shochet, <1959>.",Microfilm.,0101000020E6100000CA6C9049460C54C06C04E275FDC23940,591,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Floridian/The Floridian Newspaper,Weekly,http://chroniclingamerica.loc.gov/lccn/sn96027668,"Miami, Fla.",Jewish Floridian,sn96027668,35317255,English,1927-01-01 00:00:00+00,1990-01-01 00:00:00+00,Miami,Dade,Florida,25.76168,-80.19179,Florida--Dade--Miami,Florida--Miami-Dade County.--fast--(OCoLC)fst01287298,Florida--Miami.--fast--(OCoLC)fst01213727,d,"Fred Shochet, editor.","Issues for June 29, 1990 also called vol. 62, no. 39.","Latest issue consulted: Vol. 63, no. 26 (June 29, 1990).",0101000020E6100000CA6C9049460C54C06C04E275FDC23940,592,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish World,Weekly,http://chroniclingamerica.loc.gov/lccn/sn96027699,"West Palm Beach, Fla.",Jewish World Pub. Corp.,sn96027699,35564836,English,1990-01-01 00:00:00+00,1990-01-01 00:00:00+00,West Palm Beach,Palm Beach,Florida,26.715342,-80.053375,Florida--Palm Beach--West Palm Beach,Florida--Palm Beach County.--fast--(OCoLC)fst01205639,Florida--West Palm Beach.--fast--(OCoLC)fst01202776,d,"Latest issue consulted: Vol. 8, no. 38 (Sept. 29-Oct. 5, 1989).",Microfilm.,Various irregularities in numbering.,0101000020E610000023DBF97E6A0354C08A743FA720B73A40,593,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
American Hebrew,Weekly,http://chroniclingamerica.loc.gov/lccn/2011263328,New York,American Hebrew Pub. Co.,2011263328.0,757759063,English,1986-01-01 00:00:00+00,1989-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State)--New York.,Jewish newspapers.--fast--(OCoLC)fst00982872,"""A weekly newspaper devoted to Jewish interests, at home and abroad.""","Description based on: Vol. 1, no. 1 (Nov. 21, 1879); title from PDF masthead (ProQuest, viewed Oct. 16, 2011).","Issues for <-Vol. 72, no. 6 (Dec. 26, 1902)> also carry whole numbering <-whole no. 1206>.","Lateset issue consulted: Vol. 72, no. 6 (Dec. 26, 1902) (ProQuest, viewed Oct. 16, 2011).",0101000020E6100000282D5C56618052C0588E90813C5B4440,594,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
American Hebrew,Weekly,http://chroniclingamerica.loc.gov/lccn/2011263345,"[New York, N.Y.]",American Hebrew Pub. Co.,2011263345.0,758537368,English,1879-01-01 00:00:00+00,1902-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State)--New York.,Jewish newspapers.--fast--(OCoLC)fst00982872,"""The national Jewish weekly.""","Description based on: Vol. 110, no. 24 (Apr. 28, 1922); title from PDF masthead (ProQuest, viewed Oct. 24, 2011).","Latest issue consulted: Vol. 112, no. 7 (Dec. 29, 1922) (ProQuest, viewed Oct. 24, 2011).","Merged with: New York Jewish Tribune, to form: American Hebrew & Jewish Tribune.",0101000020E6100000282D5C56618052C0588E90813C5B4440,595,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
American Hebrew,Weekly,http://chroniclingamerica.loc.gov/lccn/sn77021623,"New York, N.Y.",American Hebrew Pub. Co.,sn77021623,8325812,English,1922-01-01 00:00:00+00,1932-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State)--New York.,Jewish newspapers.--fast--(OCoLC)fst00982872,"""The national Jewish weekly.""","Available on microfilm from American Jewish Periodical Center, Hebrew Union College, Cincinnati, Ohio.","Description based on: Vol. 113, no. 1 (May 18, 1923); title from cover.","Latest issue consulted: Vol. 112, no. 7 (Dec. 29, 1922).",0101000020E6100000282D5C56618052C0588E90813C5B4440,596,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish News,"Weekly (except last week in July, the first week in Aug., and major Jewish holidays)",http://chroniclingamerica.loc.gov/lccn/sn82002634,"Richmond, Va.",Wallace Saval,sn82002634,8463699,English,1922-01-01 00:00:00+00,1932-01-01 00:00:00+00,Richmond,,Virginia,37.540725,-77.436048,,Jewish newspapers--Virginia--Richmond.,Jews.--fast--(OCoLC)fst00983135,"""A weekly review of Jewish events.""","Vols. for <Aug. 27, 1982-> published by Friends of Lubavitch, Inc.; <July 18, 1986-> by Cong. Chabad Lubavitch.",,,0101000020E61000001EDFDE35E85B53C097900F7A36C54240,597,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Bronx Jewish Chronicle,Weekly,http://chroniclingamerica.loc.gov/lccn/sn92060436,"New York, N.Y.",Arnold Pub. Co.,sn92060436,25772008,English,1977-01-01 00:00:00+00,2005-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,"Bronx (New York, N.Y.)--Newspapers.",Jewish newspapers--New York (State)--New York.,"""Dedicated to Bronx Jewry.""","Description based on: Vol. 6, no. 2 (July 17, 1931).",,,0101000020E6100000282D5C56618052C0588E90813C5B4440,598,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Emanu-El,Weekly,http://chroniclingamerica.loc.gov/lccn/sn92060576,"San Francisco, Calif.",A.W. Voorsanger,sn92060576,27017174,English,1900-01-01 00:00:00+00,1999-01-01 00:00:00+00,San Francisco,San Francisco,California,37.77493,-122.419416,California--San Francisco--San Francisco,Jewish newspapers--California.,Jews--California--San Francisco--Newspapers.,"""A weekly paper devoted to the interests of Jews and Judaism on the Pacific Coast.""","Merged with: Jewish journal (San Francisco, Calif.), to form: Emanu-el and the Jewish journal.",,,0101000020E6100000D3DA34B6D79A5EC03A58FFE730E34240,599,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Bronx Jewish Chronicle,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94093197,"New York, N.Y.",Arnold Pub. Co.,sn94093197,32808274,English,1895-01-01 00:00:00+00,1932-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,"Bronx (New York, N.Y.)--Newspapers.",Jewish newspapers--New York (State)--New York.,"""Dedicated to Bronx Jewry.""","Description based on: Vol. 6, no. 2 (July 17, 1931).",Microfilm.,,0101000020E6100000282D5C56618052C0588E90813C5B4440,600,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Chronicle,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94092700,"Brooklyn, N.Y.",Brooklyn Jewish Chronicle,sn94092700,32784465,English,1900-01-01 00:00:00+00,1999-01-01 00:00:00+00,Brooklyn,Kings,New York,40.678178,-73.944158,New York--Kings--Brooklyn,"Brooklyn (New York, N.Y.)--Newspapers.",Jewish newspapers--New York (State)--New York.,"""Brooklyn's only Jewish newspaper printed in English.""","Description based on: Vol. 1, no. 20 (Oct. 5, 1923).",Microfilm.,"Subtitle: ""Brooklyn's Jewish home publication.""",0101000020E61000006F10AD156D7C52C0F06E6589CE564440,601,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Chronicle,Weekly,http://chroniclingamerica.loc.gov/lccn/sn91065012,"Brooklyn, N.Y.",Brooklyn Jewish Chronicle,sn91065012,23288810,English,1900-01-01 00:00:00+00,1923-01-01 00:00:00+00,Brooklyn,Kings,New York,40.678178,-73.944158,New York--Kings--Brooklyn,"Brooklyn (New York, N.Y.)--Newspapers.",Jewish newspapers--New York (State)--New York.,"""Brooklyn's only Jewish newspaper printed in English.""","Description based on: Vol. 1, no. 20 (Oct. 5, 1923).","Subtitle: ""Brooklyn's Jewish home publication.""",,0101000020E61000006F10AD156D7C52C0F06E6589CE564440,602,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Brooklyn Jewish Chronicle,Weekly,http://chroniclingamerica.loc.gov/lccn/sn91065013,"Brooklyn, N.Y.",Brooklyn Jewish Chronicle,sn91065013,23288814,English,1900-01-01 00:00:00+00,1923-01-01 00:00:00+00,Brooklyn,Kings,New York,40.678178,-73.944158,New York--Kings--Brooklyn,"Brooklyn (New York, N.Y.)--Newspapers.",Jewish newspapers--New York (State)--New York.,"""The only Jewish newspaper printed in English in Greater New York,"" <Feb. 1925-Aug. 1925>.","Subtitle: ""A Chronicle in every Jewish home,"" Feb. 1924-Jan. 1925.",,,0101000020E61000006F10AD156D7C52C0F06E6589CE564440,603,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Monitor,Weekly,http://chroniclingamerica.loc.gov/lccn/sn97065909,"Fort Worth-Dallas, Tex.",Monitor Pub. Co.,sn97065909,36869344,English,1923-01-01 00:00:00+00,1999-01-01 00:00:00+00,Fort Worth,Tarrant,Texas,32.755488,-97.330766,Texas--Tarrant--Fort Worth,Jewish newspapers--Texas--Fort Worth.,Jews.--fast--(OCoLC)fst00983135,,,,,0101000020E61000003D2828452B5558C09E42AED4B3604040,604,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Tsaytung = News Report,Weekly,http://chroniclingamerica.loc.gov/lccn/sn2001058016,"Brooklyn, N.Y.",Di Tsaytung,sn2001058016,47001569,Yiddish,1925-01-01 00:00:00+00,1999-01-01 00:00:00+00,Brooklyn,Kings,New York,40.678178,-73.944158,New York--Kings--Brooklyn,"Brooklyn (New York, N.Y.)--Newspapers.",Jewish newspapers--New York (State)--New York.,"""The Yiddish newspaper of record.""",Also issued on microfilm from the Library of Congress Photoduplication Service.,In Yiddish.,"Latest issue consulted: Vol. 12, no. 13 (Dec. 25, [19]98).",0101000020E61000006F10AD156D7C52C0F06E6589CE564440,605,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Floridian Of Pinellas County,Biweekly,http://chroniclingamerica.loc.gov/lccn/sn80001656,"Miami, Fla.",Fred K. Shochet,sn80001656,6600918,English,1849-01-01 00:00:00+00,1858-01-01 00:00:00+00,Clearwater,Pinellas,Florida,27.965853,-82.800103,Florida--Pinellas--Clearwater,Clearwater (Fla.)--Newspapers.,Florida--Clearwater.--fast--(OCoLC)fst01215622,Also available on microfilm from the University of Florida.,,,,0101000020E61000009D9B36E334B354C055BE672442F73B40,645,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
New York Jewish Tribune,,http://chroniclingamerica.loc.gov/lccn/sn2003060360,New York,M.D. Mosessohn,sn2003060360,7234881,English,1988-01-01 00:00:00+00,,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State),Jewish newspapers--United States.,"""America's foremost Jewish weekly publication of general Jewish interest.""",Also issued on microfilm from University Microfilms International.,Editor: M.D. Mosessohn.,"Vol. 1, no. 3-16, called ""New series.""",0101000020E6100000282D5C56618052C0588E90813C5B4440,606,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
